SERVICE_x,OPERATOR_x,A/D_x,AC_x,SEAT_x,TY_x,O/D_x,TROUND_x,FLIGHT_DATE_x,DATETIME_x,LINK_x,SERVICE_y,OPERATOR_y,A/D_y,AC_y,SEAT_y,TY_y,O/D_y,TROUND_y,FLIGHT_DATE_y,DATETIME_y,ID,LINK_y
BE848,BE,A,DH4,78.0,J,BHX,BE 851  ,2018-04-01 00:00:00,2018-04-01 15:30:00,D1025,BE851,BE,D,DH4,78.0,J,BHX,BE 848  ,2018-04-01 00:00:00,2018-04-01 16:15:00,D1025,1.0
LM336,LM,A,SF3,33.0,J,WIC,LM 355 A,2018-04-01 00:00:00,2018-04-01 15:40:00,D448,LM355A,LM,D,SF3,33.0,J,LSI,LM 336  ,2018-04-01 00:00:00,2018-04-01 16:10:00,D448,1.0
BA1448,BA,A,319,143.0,J,LHR,BA 2931 ,2018-04-01 00:00:00,2018-04-01 15:45:00,D1443,BA1459,BA,D,319,143.0,J,LHR,BA 1452 ,2018-04-01 00:00:00,2018-04-01 17:45:00,D1443,1.0
EZY17,EZY,A,319,156.0,J,LTN,EZY18   ,2018-04-01 00:00:00,2018-04-01 15:45:00,D72,EZY18,EZY,D,319,156.0,J,LTN,EZY17   ,2018-04-01 00:00:00,2018-04-01 16:10:00,D72,1.0
BE769,BE,A,DH4,78.0,J,SOU,BE 691  ,2018-04-01 00:00:00,2018-04-01 16:00:00,D1309,BE1343,BE,D,DH4,78.0,J,LCY,BE 656  ,2018-04-01 00:00:00,2018-04-01 16:45:00,D1309,1.0
KL1289,KL,A,E90,100.0,J,AMS,KL 1290 ,2018-04-01 00:00:00,2018-04-01 16:00:00,D1257,KL1290,KL,D,E90,100.0,J,AMS,KL 1289 ,2018-04-01 00:00:00,2018-04-01 16:30:00,D1257,1.0
LM356,LM,A,SF3,33.0,J,LSI,LM 351  ,2018-04-01 00:00:00,2018-04-01 16:10:00,D517,LM399A,LM,D,SF3,34.0,J,KOI,LM 348 A,2018-04-01 00:00:00,2018-04-01 16:55:00,D517,1.0
LM348A,LM,A,SF3,34.0,J,SYY,LM 399 A,2018-04-01 00:00:00,2018-04-01 16:15:00,D453,LM357,LM,D,SF3,33.0,J,LSI,LM 398  ,2018-04-01 00:00:00,2018-04-01 17:10:00,D453,1.0
EW1712,EW,A,32A,180.0,J,MUC,EW 1713 ,2018-04-01 00:00:00,2018-04-01 16:15:00,D1557,EW1713,EW,D,32A,180.0,J,MUC,EW 1712 ,2018-04-01 00:00:00,2018-04-01 16:55:00,D1557,1.0
BE656,BE,A,DH4,78.0,J,NOC,BE 1343 ,2018-04-01 00:00:00,2018-04-01 16:20:00,D1658,BE2109,BE,D,DH4,78.0,J,LHR,BE 266  ,2018-04-01 00:00:00,2018-04-01 17:20:00,D1658,1.0
EZY809,EZY,A,320,186.0,J,LGW,EZY6959 ,2018-04-01 00:00:00,2018-04-01 16:25:00,D2450,EZY6983,EZY,D,320,186.0,J,CPH,EZY427  ,2018-04-01 00:00:00,2018-04-01 17:00:00,D2450,1.0
EZY485,EZY,A,320,186.0,J,BFS,EZY428  ,2018-04-01 00:00:00,2018-04-01 16:30:00,D614,EZY488,EZY,D,320,186.0,J,BFS,EZY6924 ,2018-04-01 00:00:00,2018-04-01 17:00:00,D614,1.0
FR1108,FR,A,73H,189.0,J,EIN,FR 1049 ,2018-04-01 00:00:00,2018-04-01 16:30:00,D1126,FR1049,FR,D,73H,189.0,J,KTW,FR 1108 ,2018-04-01 00:00:00,2018-04-01 16:55:00,D1126,1.0
EZY6924,EZY,A,320,186.0,J,AMS,EZY488  ,2018-04-01 00:00:00,2018-04-01 16:30:00,D545,EZY428,EZY,D,320,186.0,J,BRS,EZY485  ,2018-04-01 00:00:00,2018-04-01 17:00:00,D545,1.0
LM398,LM,A,SF3,33.0,J,KOI,LM 357  ,2018-04-01 00:00:00,2018-04-01 16:30:00,D412,LM351,LM,D,SF3,33.0,J,LSI,LM 356  ,2018-04-02 00:00:00,2018-04-02 06:25:00,D412,1.0
EZY6956,EZY,A,319,156.0,J,CDG,EZY6913 ,2018-04-01 00:00:00,2018-04-01 16:35:00,D2239,EZY6913,EZY,D,319,156.0,J,MUC,EZY6956 ,2018-04-01 00:00:00,2018-04-01 17:05:00,D2239,1.0
EZY427,EZY,A,320,186.0,J,BRS,EZY6983 ,2018-04-01 00:00:00,2018-04-01 16:35:00,D2316,EZY6931,EZY,D,320,186.0,J,HAM,EZY6978 ,2018-04-01 00:00:00,2018-04-01 17:35:00,D2316,1.0
EZY237,EZY,A,319,156.0,J,STN,EZY6957 ,2018-04-01 00:00:00,2018-04-01 16:45:00,D2374,EZY6957,EZY,D,319,156.0,J,CDG,EZY237  ,2018-04-01 00:00:00,2018-04-01 17:15:00,D2374,1.0
BA1452,BA,A,319,143.0,J,LHR,BA 1459 ,2018-04-01 00:00:00,2018-04-01 16:50:00,D1468,BA1463,BA,D,319,143.0,J,LHR,BA 1454 ,2018-04-01 00:00:00,2018-04-01 18:45:00,D1468,1.0
FR2685,FR,A,73H,189.0,J,STN,FR 8888 ,2018-04-01 00:00:00,2018-04-01 16:50:00,D2671,FR8888,FR,D,73H,189.0,J,STN,FR 2685 ,2018-04-01 00:00:00,2018-04-01 17:15:00,D2671,1.0
BE266,BE,A,DH4,78.0,J,EMA,BE 2109 ,2018-04-01 00:00:00,2018-04-01 17:00:00,D321,BE296,BE,D,DH4,78.0,J,MAN,BE 295  ,2018-04-01 00:00:00,2018-04-01 17:40:00,D321,1.0
EZY6978,EZY,A,320,186.0,J,SXF,EZY6931 ,2018-04-01 00:00:00,2018-04-01 17:05:00,D884,EZY812,EZY,D,320,186.0,J,LGW,EZY6908 ,2018-04-01 00:00:00,2018-04-01 17:55:00,D884,1.0
BE295,BE,A,DH4,78.0,J,MAN,BE 296  ,2018-04-01 00:00:00,2018-04-01 17:15:00,D1048,BE853,BE,D,DH4,78.0,J,BHX,BE 850  ,2018-04-01 00:00:00,2018-04-01 17:50:00,D1048,1.0
FR7835,FR,A,73H,189.0,J,BZR,FR 7352 ,2018-04-01 00:00:00,2018-04-01 17:20:00,D2500,FR7352,FR,D,73H,189.0,J,CRL,FR 7835 ,2018-04-01 00:00:00,2018-04-01 17:45:00,D2500,1.0
FR1077,FR,A,73H,189.0,J,HAM,FR 2674 ,2018-04-01 00:00:00,2018-04-01 17:20:00,D1725,FR2674,FR,D,73H,189.0,J,CPH,FR 1077 ,2018-04-01 00:00:00,2018-04-01 17:45:00,D1725,1.0
BE850,BE,A,DH4,78.0,J,BHX,BE 853  ,2018-04-01 00:00:00,2018-04-01 17:25:00,D799,BE772,BE,D,DH4,78.0,J,SOU,BE 771  ,2018-04-01 00:00:00,2018-04-01 18:00:00,D799,1.0
EZY6908,EZY,A,320,186.0,J,GVA,EZY812  ,2018-04-01 00:00:00,2018-04-01 17:25:00,D558,EZY430,EZY,D,320,186.0,J,BRS,EZY6996 ,2018-04-01 00:00:00,2018-04-01 18:00:00,D558,1.0
EZY6996,EZY,A,320,186.0,J,MAD,EZY430  ,2018-04-01 00:00:00,2018-04-01 17:30:00,D219,EZY240,EZY,D,320,186.0,J,STN,EZY487  ,2018-04-01 00:00:00,2018-04-01 18:00:00,D219,1.0
EZY487,EZY,A,320,186.0,J,BFS,EZY240  ,2018-04-01 00:00:00,2018-04-01 17:30:00,D2297,EZY6925,EZY,D,320,180.0,J,AMS,EZY6926 ,2018-04-01 00:00:00,2018-04-01 18:40:00,D2297,1.0
