SERVICE,OPERATOR,A/D,AC,SEAT,TY,O/D,TROUND,FLIGHT_DATE,DATETIME,ID,LINK
FR6681,FR,D,73H,189.0,J,CIA,FR 6604 ,2018-04-02 00:00:00,2018-04-02 05:25:00,D2183,1
FR6266,FR,D,73H,189.0,J,BCN,FR 7353 ,2018-04-02 00:00:00,2018-04-02 05:30:00,D2082,1
FR6826,FR,D,73H,189.0,J,FAO,FR 8823 ,2018-04-02 00:00:00,2018-04-02 05:35:00,D2203,1
LS857,LS,D,73C,148.0,J,AGP,LS 788  ,2018-04-02 00:00:00,2018-04-02 05:35:00,D1067,1
BA2931,BA,D,319,144.0,J,LGW,BA 1448 ,2018-04-02 00:00:00,2018-04-02 05:35:00,D1790,1
EZY6939,EZY,D,320,186.0,J,KRK,EZY813  ,2018-04-02 00:00:00,2018-04-02 05:40:00,D2337,1
FR2453,FR,D,73H,189.0,J,BLQ,FR 2675 ,2018-04-02 00:00:00,2018-04-02 05:50:00,D1693,1
BA1435,BA,D,763,259.0,J,LHR,BA 1460 ,2018-04-02 00:00:00,2018-04-02 05:50:00,D1348,1
BE841,BE,D,DH4,78.0,J,BHX,BE 1344 ,2018-04-02 00:00:00,2018-04-02 06:00:00,D975,1
EZY12,EZY,D,320,186.0,J,LTN,EZY6932 ,2018-04-02 00:00:00,2018-04-02 06:00:00,D36,1
FR8882,FR,D,73H,189.0,J,STN,FR 1050 ,2018-04-02 00:00:00,2018-04-02 06:00:00,D2649,1
EZY482,EZY,D,320,186.0,J,BFS,EZY6960 ,2018-04-02 00:00:00,2018-04-02 06:10:00,D583,1
FR1048,FR,D,73H,189.0,J,FKB,FR 8422 ,2018-04-02 00:00:00,2018-04-02 06:15:00,D1122,1
EZY6983,EZY,D,319,156.0,J,CPH,EZY6982 ,2018-04-02 00:00:00,2018-04-02 06:15:00,D2453,1
LM351,LM,D,SF3,33.0,J,LSI,LM 356  ,2018-04-02 00:00:00,2018-04-02 06:25:00,D412,1
FR6656,FR,D,73H,189.0,J,PMI,FR 6653 ,2018-04-02 00:00:00,2018-04-02 06:35:00,D2170,1
EZS6918,EZS,D,320,186.0,J,BSL,EZS6917 ,2018-04-02 00:00:00,2018-04-02 06:35:00,D2259,1
LS853,LS,D,73C,148.0,J,VCE,LS 776  ,2018-04-02 00:00:00,2018-04-02 06:45:00,D1039,1
FR813,FR,D,73H,189.0,J,DUB,FR 812  ,2018-04-02 00:00:00,2018-04-02 07:00:00,D888,1
BA1461,BA,D,319,143.0,J,LHR,BA 1462 ,2018-04-02 00:00:00,2018-04-02 07:00:00,D1456,1
EZY804,EZY,D,320,180.0,J,LGW,EZY801  ,2018-04-02 00:00:00,2018-04-02 07:20:00,D852,1
EI3251,EI,D,AT7,72.0,J,DUB,EI 3250 ,2018-04-02 00:00:00,2018-04-02 07:20:00,D1831,1
LS815,LS,D,73C,148.0,J,FAO,LS 816  ,2018-04-02 00:00:00,2018-04-02 07:25:00,D924,1
LS775,LS,D,73H,189.0,J,ALC,LS 728  ,2018-04-02 00:00:00,2018-04-02 07:30:00,D802,1
BE1333,BE,D,DH4,78.0,J,LCY,BE 696  ,2018-04-02 00:00:00,2018-04-02 07:30:00,D1287,1
TOM1130,TOM,D,73H,189.0,C,LPA,TOM1797 ,2018-04-02 00:00:00,2018-04-02 07:35:00,D1185,1
BE4502,BE,D,E95,118.0,J,CWL,BE 4501 ,2018-04-02 00:00:00,2018-04-02 07:40:00,D1995,1
QR32,QR,D,359,283.0,J,DOH,QR 31   ,2018-04-02 00:00:00,2018-04-02 07:45:00,D123,1
