SERVICE_x,OPERATOR_x,AC_x,SEAT_x,TY_x,O/D_x,TROUND_x,DATETIME_x,SERVICE_y,SEAT_y,TY_y,O/D_y,DATETIME_y,TURN_MINUTES
EZY6978,EZY,320,186.0,J,SXF,EZY6931 ,2018-04-08 17:05:00,EZY430,186.0,J,BRS,2018-04-08 18:00:00,55
BE295,BE,DH4,78.0,J,MAN,BE 296  ,2018-04-08 17:15:00,BE853,78.0,J,BHX,2018-04-08 17:50:00,35
FR1077,FR,73H,189.0,J,HAM,FR 2674 ,2018-04-08 17:20:00,FR2674,189.0,J,CPH,2018-04-08 17:45:00,25
FR7835,FR,73H,189.0,J,BZR,FR 7352 ,2018-04-08 17:20:00,FR7352,189.0,J,CRL,2018-04-08 17:45:00,25
EZY6908,EZY,320,186.0,J,GVA,EZY812  ,2018-04-08 17:25:00,EZY240,186.0,J,STN,2018-04-08 18:00:00,35
BE850,BE,DH4,78.0,J,BHX,BE 853  ,2018-04-08 17:25:00,BE772,78.0,J,SOU,2018-04-08 18:00:00,35
EZY487,EZY,320,186.0,J,BFS,EZY240  ,2018-04-08 17:30:00,EZY6925,180.0,J,AMS,2018-04-08 18:40:00,70
EZY6996,EZY,320,186.0,J,MAD,EZY430  ,2018-04-08 17:30:00,EZY2686,186.0,J,MXP,2018-04-08 19:15:00,105
EW9364,EW,32A,180.0,J,DUS,EW 9365 ,2018-04-08 17:30:00,EW9365,180.0,J,DUS,2018-04-08 18:05:00,35
BE771,BE,DH4,78.0,J,SOU,BE 772  ,2018-04-08 17:40:00,BE267,78.0,J,EMA,2018-04-08 18:25:00,45
BE1342,BE,DH4,78.0,J,LCY,BE 267  ,2018-04-08 17:45:00,BE691,78.0,J,BHD,2018-04-08 18:30:00,45
WK310,WK,320,180.0,J,ZRH,WK 311  ,2018-04-08 17:55:00,WK311,180.0,J,ZRH,2018-04-08 18:40:00,45
BA1454,BA,319,143.0,J,LHR,BA 1463 ,2018-04-08 17:55:00,BA1459,143.0,J,LHR,2018-04-09 00:00:00,1430
AY1373,AY,E90,100.0,J,HEL,AY 1374 ,2018-04-08 17:55:00,AY1374,100.0,J,HEL,2018-04-08 18:40:00,45
EZY6926,EZY,320,180.0,J,AMS,EZY6925 ,2018-04-08 18:10:00,EZY20,186.0,J,LTN,2018-04-08 19:55:00,105
FR1053,FR,73H,189.0,J,PRG,FR 8824 ,2018-04-08 18:10:00,FR8824,189.0,J,STN,2018-04-08 18:35:00,25
LS706,LS,73H,189.0,J,ACE,LS 775  ,2018-04-08 18:20:00,LS775,189.0,J,ALC,2018-04-09 00:00:00,790
EI3258,EI,AT7,72.0,J,DUB,EI 3259 ,2018-04-08 18:20:00,EI3259,72.0,J,DUB,2018-04-08 18:50:00,30
VY7815,VY,320,180.0,J,BCN,VY 7816 ,2018-04-08 18:25:00,VY7816,180.0,J,BCN,2018-04-08 19:05:00,40
FR6827,FR,73H,189.0,J,FAO,FR 6826 ,2018-04-08 18:30:00,FR6826,189.0,J,FAO,2018-04-08 18:55:00,25
LS728,LS,73H,189.0,J,TFS,LS 715  ,2018-04-08 18:35:00,LS715,189.0,J,LPA,2018-04-09 00:00:00,815
FR9303,FR,73H,189.0,J,GRO,FR 9304 ,2018-04-08 18:35:00,FR9304,189.0,J,GRO,2018-04-08 19:00:00,25
FR4382,FR,73H,189.0,J,HHN,FR 4383 ,2018-04-08 18:45:00,FR4383,189.0,J,HHN,2018-04-08 19:10:00,25
EZY2685,EZY,320,186.0,J,MXP,EZY2686 ,2018-04-08 18:45:00,EZY490,186.0,J,BFS,2018-04-08 19:55:00,70
BA1458,BA,320,168.0,J,LHR,BA 1465 ,2018-04-08 18:45:00,BA1465,168.0,J,LHR,2018-04-08 19:35:00,50
BE694,BE,DH4,78.0,J,BHD,BE 693  ,2018-04-08 18:45:00,BE693,78.0,J,BHD,2018-04-08 19:25:00,40
BE2108,BE,DH4,78.0,J,LHR,BE 855  ,2018-04-08 19:00:00,BE855,78.0,J,BHX,2018-04-08 19:40:00,40
BE852,BE,DH4,78.0,J,BHX,BE 2101 ,2018-04-08 19:15:00,BE2101,78.0,J,LHR,2018-04-09 00:00:00,605
